Local name,Distance,Geom,geometry,Lat,Long
Jardim Goiás,1.0,POINT (-49.2385974 -16.7024172),POINT (-49.2385974 -16.7024172),-49.2385974,-16.7024172
Jardim Gramado,6.5,POINT (-49.3000239 -16.637658),POINT (-49.3000239 -16.637658),-49.3000239,-16.637658
Jardim Guanabara,7.8,POINT (-49.212046 -16.622206),POINT (-49.212046 -16.622206),-49.212046,-16.622206
Jardim Guanabara II,8.1,POINT (-49.2150822 -16.6099757),POINT (-49.2150822 -16.6099757),-49.2150822,-16.6099757
Jardim Guanabara III,7.9,POINT (-49.2208298 -16.6126889),POINT (-49.2208298 -16.6126889),-49.2208298,-16.6126889
Jardim Guanabara IV,8.4,POINT (-49.20971662090216 -16.61477145),POINT (-49.20971662090216 -16.61477145),-49.20971662090216,-16.61477145
Jardim Lageado,7.6,POINT (-49.1901164 -16.6454374),POINT (-49.1901164 -16.6454374),-49.1901164,-16.6454374
Jardim Lago Azul,9.7,POINT (-49.330659 -16.6325109),POINT (-49.330659 -16.6325109),-49.330659,-16.6325109
Jardim Maria Helena,7.7,POINT (-49.1824179 -16.6561888),POINT (-49.1824179 -16.6561888),-49.1824179,-16.6561888
Jardim Mariliza,7.8,POINT (-49.2000002 -16.7358723),POINT (-49.2000002 -16.7358723),-49.2000002,-16.7358723
Jardim Nova Esperança,7.5,POINT (-49.32415222410732 -16.64477355),POINT (-49.32415222410732 -16.64477355),-49.324152224107316,-16.644773549999996
Jardim Novo Mundo,2.1,POINT (-49.2105462 -16.6743492),POINT (-49.2105462 -16.6743492),-49.2105462,-16.6743492
Jardim Novo Mundo Extensão,3.0,POINT (-49.22557158919717 -16.6898484),POINT (-49.22557158919717 -16.6898484),-49.22557158919717,-16.689848400000002
Jardim Novo Mundo II,3.9,POINT (-49.2145225 -16.6787762),POINT (-49.2145225 -16.6787762),-49.2145225,-16.6787762
Jardim Petrópolis,8.7,POINT (-49.3367438 -16.662126),POINT (-49.3367438 -16.662126),-49.3367438,-16.662126
Jardim Pompéia,7.2,POINT (-49.2502382 -16.6136281),POINT (-49.2502382 -16.6136281),-49.2502382,-16.6136281
Jardim Santa Cecília,6.9,POINT (-49.3044793 -16.6389689),POINT (-49.3044793 -16.6389689),-49.3044793,-16.6389689
Jardim Santo Antonio,5.4,POINT (-49.2544329 -16.7295126),POINT (-49.2544329 -16.7295126),-49.2544329,-16.7295126
Jardim São Judas Tadeu,6.8,POINT (-49.2499377 -16.6170414),POINT (-49.2499377 -16.6170414),-49.2499377,-16.6170414
Jardim da Luz,5.2,POINT (-49.2350362 -16.7242372),POINT (-49.2350362 -16.7242372),-49.2350362,-16.7242372
Jardim das Esmeraldas,4.0,POINT (-49.2770733 -16.6528491),POINT (-49.2770733 -16.6528491),-49.2770733,-16.6528491
Jarins França,9.0,POINT (-49.1863187688685 -16.7352977),POINT (-49.1863187688685 -16.7352977),-49.1863187688685,-16.7352977
Loteamento Aruanã Park,5.7,POINT (-49.198939 -16.6931796),POINT (-49.198939 -16.6931796),-49.198939,-16.6931796
Loteamento Granjas Brasil,7.4,POINT (-49.2802631 -16.6161087),POINT (-49.2802631 -16.6161087),-49.2802631,-16.6161087
Loteamento Mansões Goianas,6.1,POINT (-49.283511 -16.6281354),POINT (-49.283511 -16.6281354),-49.283511,-16.6281354
Loteamento Panorama Parque,4.4,POINT (-49.2770474 -16.6423298),POINT (-49.2770474 -16.6423298),-49.2770474,-16.6423298
Loteamento Recanto Barravento,8.1,POINT (-49.3040585 -16.6246741),POINT (-49.3040585 -16.6246741),-49.3040585,-16.6246741
Loteamento Recreio Panorama,8.1,POINT (-49.3093055 -16.6291182),POINT (-49.3093055 -16.6291182),-49.3093055,-16.6291182
Loteamento Tropical Verde,9.4,POINT (-49.34492071712911 -16.6866864),POINT (-49.34492071712911 -16.6866864),-49.344920717129106,-16.6866864
Loteamento Tupynambá dos Reis,8.1,POINT (-49.1810531 -16.6527951),POINT (-49.1810531 -16.6527951),-49.1810531,-16.6527951
Negrão de Lima,2.6,POINT (-49.2418636 -16.6533352),POINT (-49.2418636 -16.6533352),-49.2418636,-16.6533352
Osvaldo Rosa,2.9,POINT (-49.2312019 -16.6657416),POINT (-49.2312019 -16.6657416),-49.2312019,-16.6657416
Park Lozandes,3.0,POINT (-49.2250432 -16.7035013),POINT (-49.2250432 -16.7035013),-49.2250432,-16.7035013
Parque Acalanto,6.5,POINT (-49.2278522 -16.7338688),POINT (-49.2278522 -16.7338688),-49.2278522,-16.7338688
Parque Amazonas,6.0,POINT (-49.2722865 -16.7322656),POINT (-49.2722865 -16.7322656),-49.2722865,-16.7322656
Parque Amazonia,5.9,POINT (-49.2816112 -16.7268546),POINT (-49.2816112 -16.7268546),-49.2816112,-16.7268546
Parque Balneário,7.8,POINT (-49.2851502 -16.6157371),POINT (-49.2851502 -16.6157371),-49.2851502,-16.6157371
Parque Flamboyant,7.2,POINT (-49.2191619 -16.7370436),POINT (-49.2191619 -16.7370436),-49.2191619,-16.7370436
Parque Industrial Paulista,8.8,POINT (-49.33778119119212 -16.6542319),POINT (-49.33778119119212 -16.6542319),-49.33778119119212,-16.6542319
Parque Industrial de Goiânia,2.5,POINT (-49.2331028 -16.661113),POINT (-49.2331028 -16.661113),-49.2331028,-16.661113
Parque Santa Cruz,6.7,POINT (-49.223271 -16.7342336),POINT (-49.223271 -16.7342336),-49.223271,-16.7342336
Parque Santa Maria,5.6,POINT (-49.2012066 -16.6955082),POINT (-49.2012066 -16.6955082),-49.2012066,-16.6955082
Parque das Amendoeiras,6.7,POINT (-49.1912559 -16.6555994),POINT (-49.1912559 -16.6555994),-49.1912559,-16.6555994
Parque das Flores,6.2,POINT (-49.2900712 -16.6264212),POINT (-49.2900712 -16.6264212),-49.2900712,-16.6264212
Parque das Nações,7.1,POINT (-49.2826588 -16.621701),POINT (-49.2826588 -16.621701),-49.2826588,-16.621701
Residencial Alice Barbosa,9.1,POINT (-49.2704789 -16.5954154),POINT (-49.2704789 -16.5954154),-49.2704789,-16.5954154
Residencial Alice Barbosa I,9.3,POINT (-49.26534210476161 -16.595445),POINT (-49.26534210476161 -16.595445),-49.265342104761615,-16.595444999999998
